Name,Value.gain,Value.bw,Value.constraint_gain_constraint,Value.constraint_pm_constraint,Value.LM1,Value.LM2,Value.LM3,Value.WM1,Value.WM2,Value.WM3,Value.Rb,Value.Vb
47,-0.565972727272727,-0.1588385,-31.1285,-17.4189458462884,3.62042038620901E-07,7.5696251811738E-07,8.47466738876054E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.641304387432982
48,-0.390489636363636,-0.4379944,-21.47693,-32.5037326056601,2.09770414816309E-07,1.41059788264506E-07,3.77505334809183E-07,9.74705278155888E-05,9.33236799796706E-05,3.28737134777106E-05,105.066228461579,0.445043660592035
49,-0.599709090909091,-0.12543596,-32.984,-13.5322029336717,4.10474652126431E-07,1.24315597713996E-06,1.03659560900139E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.644643597335363
50,-0.385877272727273,-0.4481368,-21.22325,-36.0903400702952,2.09770414816309E-07,1.93924054134383E-07,2.78512237527546E-07,9.74705278155888E-05,9.63778304489418E-05,2.64663926514114E-05,105.066228461579,0.445043660592035
51,-0.563386363636364,-0.1614438,-30.98625,-16.5044780620001,3.47784003158223E-07,1.05021700689043E-06,8.47466738876054E-07,9.74705278155888E-05,9.63778304489418E-05,1.02087069393529E-05,105.066228461579,0.616074885561431
52,-0.550189454545455,-0.1765621,-30.26042,-20.2364517384577,3.47784003158223E-07,8.90535663637687E-07,6.85254716091663E-07,9.74705278155888E-05,9.63778304489418E-05,1.02087069393529E-05,105.066228461579,0.616074885561431
53,-0.599371454545454,-0.1257081,-32.96543,-13.3030797650977,4.09965489269552E-07,1.24315597713996E-06,1.05267376335384E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.641304387432982
54,-0.659248363636364,-0.07859648,-36.25866,-21.1756096078013,5.06644193584066E-07,1.93924054134383E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,5.55431707169376E-06,2157.48173067053,0.671533717862347
55,-0.608046181818182,-0.117712,-33.44254,-11.8514743465063,4.10474652126431E-07,1.24315597713996E-06,1.16182951405763E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.656264841462184
56,-0.656072727272727,-0.08077296,-36.084,-11.7105225209872,5.14810414892528E-07,1.23513980412098E-06,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,5.55431707169376E-06,327.60343817383,0.708799225186819
57,-0.660760909090909,-0.07750704,-36.34185,-21.2363305598668,5.14810414892528E-07,1.93924054134383E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,5.55431707169376E-06,2194.55566241353,0.671533717862347
58,-0.594694727272727,-0.13003156,-32.70821,-14.5125800786853,4.10474652126431E-07,1.15825445267076E-06,9.8921269284444E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.641304387432982
59,-0.585698181818182,-0.13781698,-32.2134,-15.9083506924902,4.10788028988886E-07,8.90535663637687E-07,9.55735582742182E-07,9.74705278155888E-05,9.63778304489418E-05,1.02087069393529E-05,105.066228461579,0.641304387432982
60,-0.404682727272727,-0.409583,-22.25755,-32.2261253334338,2.09770414816309E-07,1.85907401178059E-07,3.77505334809183E-07,9.74705278155888E-05,7.78256093801982E-05,2.67842704669325E-05,105.066228461579,0.46662621652784
